IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ZOFIA,KOBIETA,4968
ZUZANNA,KOBIETA,4800
LAURA,KOBIETA,4602
HANNA,KOBIETA,4565
MAJA,KOBIETA,4461
JULIA,KOBIETA,4254
OLIWIA,KOBIETA,3846
POLA,KOBIETA,3692
ALICJA,KOBIETA,3593
MARIA,KOBIETA,3137
LENA,KOBIETA,2966
ANTONINA,KOBIETA,2912
EMILIA,KOBIETA,2785
AMELIA,KOBIETA,2759
KLARA,KOBIETA,2660
MICHALINA,KOBIETA,2644
IGA,KOBIETA,2563
LILIANA,KOBIETA,2561
WIKTORIA,KOBIETA,2531
HELENA,KOBIETA,2511
MARCELINA,KOBIETA,2351
GABRIELA,KOBIETA,1883
ALEKSANDRA,KOBIETA,1878
NELA,KOBIETA,1768
KORNELIA,KOBIETA,1761
ŁUCJA,KOBIETA,1732
BLANKA,KOBIETA,1636
ANNA,KOBIETA,1581
NADIA,KOBIETA,1565
NATALIA,KOBIETA,1441
LILIANNA,KOBIETA,1422
JAGODA,KOBIETA,1410
MIA,KOBIETA,1232
MILENA,KOBIETA,1148
RÓŻA,KOBIETA,1132
KAJA,KOBIETA,1127
ROZALIA,KOBIETA,1103
ANASTAZJA,KOBIETA,1063
NINA,KOBIETA,1001
ANIELA,KOBIETA,984
WERONIKA,KOBIETA,959
SARA,KOBIETA,937
NIKOLA,KOBIETA,917
BARBARA,KOBIETA,892
AURELIA,KOBIETA,880
MATYLDA,KOBIETA,845
LIWIA,KOBIETA,779
KAROLINA,KOBIETA,752
MARTYNA,KOBIETA,712
AGATA,KOBIETA,656
ELIZA,KOBIETA,637
ADRIANNA,KOBIETA,636
JAŚMINA,KOBIETA,571
GAJA,KOBIETA,558
WANDA,KOBIETA,550
MARIANNA,KOBIETA,544
MAGDALENA,KOBIETA,535
MELANIA,KOBIETA,519
KINGA,KOBIETA,502
BIANKA,KOBIETA,453
IZABELA,KOBIETA,425
KALINA,KOBIETA,422
JOANNA,KOBIETA,414
DIANA,KOBIETA,411
MAŁGORZATA,KOBIETA,410
ZOJA,KOBIETA,405
APOLONIA,KOBIETA,402
LIDIA,KOBIETA,396
SOFIA,KOBIETA,393
EWA,KOBIETA,386
DOMINIKA,KOBIETA,374
MARTA,KOBIETA,372
URSZULA,KOBIETA,365
NEL,KOBIETA,355
MALWINA,KOBIETA,340
MILANA,KOBIETA,337
STEFANIA,KOBIETA,330
PAULINA,KOBIETA,328
KATARZYNA,KOBIETA,316
IDA,KOBIETA,302
DARIA,KOBIETA,294
LILIA,KOBIETA,284
OLIVIA,KOBIETA,283
EMMA,KOBIETA,272
SOFIIA,KOBIETA,266
KLAUDIA,KOBIETA,264
LUIZA,KOBIETA,261
RITA,KOBIETA,259
JAGNA,KOBIETA,248
KAMILA,KOBIETA,246
LARA,KOBIETA,245
LEA,KOBIETA,242
FELICJA,KOBIETA,239
ELENA,KOBIETA,239
PATRYCJA,KOBIETA,234
ADA,KOBIETA,221
LILA,KOBIETA,214
CELINA,KOBIETA,210
JADWIGA,KOBIETA,199
ADELINA,KOBIETA,194
DOROTA,KOBIETA,193
OLGA,KOBIETA,180
ZLATA,KOBIETA,172
JANINA,KOBIETA,166
ALINA,KOBIETA,159
ALISA,KOBIETA,156
KIRA,KOBIETA,150
EVA,KOBIETA,140
ADELA,KOBIETA,140
NOEMI,KOBIETA,139
MILA,KOBIETA,138
SANDRA,KOBIETA,137
VICTORIA,KOBIETA,133
ELŻBIETA,KOBIETA,129
MARIKA,KOBIETA,126
FRANCISZKA,KOBIETA,126
POLINA,KOBIETA,124
EMILIIA,KOBIETA,123
MONIKA,KOBIETA,122
AURORA,KOBIETA,121
ESTERA,KOBIETA,116
YEVA,KOBIETA,116
TOLA,KOBIETA,116
EWELINA,KOBIETA,116
AGNIESZKA,KOBIETA,115
SOLOMIIA,KOBIETA,114
JUSTYNA,KOBIETA,112
VERONIKA,KOBIETA,107
MARLENA,KOBIETA,106
GLORIA,KOBIETA,105
LIVIA,KOBIETA,105
KRYSTYNA,KOBIETA,102
MAYA,KOBIETA,101
NIKOL,KOBIETA,99
MARIIA,KOBIETA,99
VIKTORIIA,KOBIETA,99
INGA,KOBIETA,95
TERESA,KOBIETA,93
DAGMARA,KOBIETA,91
ARINA,KOBIETA,90
SONIA,KOBIETA,88
FLORENTYNA,KOBIETA,87
LUNA,KOBIETA,86
VANESSA,KOBIETA,83
JULIANNA,KOBIETA,82
KARINA,KOBIETA,81
MELISA,KOBIETA,81
KONSTANCJA,KOBIETA,77
EVELINA,KOBIETA,76
ROKSANA,KOBIETA,76
CARMEN,KOBIETA,75
VIKTORIA,KOBIETA,75
JULITA,KOBIETA,74
LUCYNA,KOBIETA,74
IRENA,KOBIETA,73
FAUSTYNA,KOBIETA,73
JUDYTA,KOBIETA,70
MIRA,KOBIETA,69
IZABELLA,KOBIETA,67
JOWITA,KOBIETA,66
OTYLIA,KOBIETA,65
LILY,KOBIETA,64
INEZ,KOBIETA,64
OLEKSANDRA,KOBIETA,64
DALIA,KOBIETA,62
LILI,KOBIETA,61
ANITA,KOBIETA,60
JÓZEFINA,KOBIETA,58
ARIANA,KOBIETA,57
INES,KOBIETA,57
SABINA,KOBIETA,57
INKA,KOBIETA,57
NICOLE,KOBIETA,57
PAULA,KOBIETA,57
OLIVIIA,KOBIETA,57
ANASTASIIA,KOBIETA,56
MALINA,KOBIETA,55
STELLA,KOBIETA,55
LETYCJA,KOBIETA,55
EMILY,KOBIETA,54
ZOE,KOBIETA,54
LILLY,KOBIETA,53
MIIA,KOBIETA,53
DANUTA,KOBIETA,52
KLEMENTYNA,KOBIETA,52
ANGELINA,KOBIETA,51
AMINA,KOBIETA,50
AMANDA,KOBIETA,47
OKTAWIA,KOBIETA,47
NICOLA,KOBIETA,46
MYROSLAVA,KOBIETA,46
ANASTASIA,KOBIETA,46
NAOMI,KOBIETA,45
SOPHIE,KOBIETA,44
VARVARA,KOBIETA,44
CECYLIA,KOBIETA,44
SYLWIA,KOBIETA,44
SOLOMIA,KOBIETA,43
NELIA,KOBIETA,43
DARYNA,KOBIETA,43
LIA,KOBIETA,43
MICHELLE,KOBIETA,43
ANTONIA,KOBIETA,42
ULIANA,KOBIETA,42
ROMA,KOBIETA,41
NASTIA,KOBIETA,40
MIRIAM,KOBIETA,40
MELISSA,KOBIETA,39
OLA,KOBIETA,38
NIKA,KOBIETA,37
IDALIA,KOBIETA,37
ADRIANA,KOBIETA,36
SELENA,KOBIETA,36
LEONIA,KOBIETA,36
HALINA,KOBIETA,36
KATERYNA,KOBIETA,35
ARIA,KOBIETA,35
HIACYNTA,KOBIETA,35
JANA,KOBIETA,35
LARYSA,KOBIETA,34
WALERIA,KOBIETA,32
MIJA,KOBIETA,32
SOPHIA,KOBIETA,32
VALERIIA,KOBIETA,31
EDYTA,KOBIETA,31
ANETA,KOBIETA,31
SOFIJA,KOBIETA,31
ZOYA,KOBIETA,30
MARIETTA,KOBIETA,30
FLORA,KOBIETA,30
ELEONORA,KOBIETA,30
MARCJANNA,KOBIETA,29
MELANIIA,KOBIETA,29
NATASZA,KOBIETA,29
VALERIA,KOBIETA,29
HONORATA,KOBIETA,28
ABIGAIL,KOBIETA,28
NADZIEJA,KOBIETA,28
ISABELLA,KOBIETA,28
YANA,KOBIETA,28
VLADYSLAVA,KOBIETA,27
MARCELA,KOBIETA,27
ELIZABETH,KOBIETA,27
KSENIA,KOBIETA,26
ALEXANDRA,KOBIETA,26
AMELIIA,KOBIETA,26
TAMARA,KOBIETA,25
HANNAH,KOBIETA,25
DANIELA,KOBIETA,25
WIOLETTA,KOBIETA,25
LILLA,KOBIETA,25
ELINA,KOBIETA,24
MIYA,KOBIETA,24
MAGDA,KOBIETA,24
BEATA,KOBIETA,24
LEILA,KOBIETA,24
OLIMPIA,KOBIETA,24
LAILA,KOBIETA,23
YELYZAVETA,KOBIETA,23
DOBRAWA,KOBIETA,22
ANHELINA,KOBIETA,22
LAYLA,KOBIETA,22
GAIA,KOBIETA,22
JASMINA,KOBIETA,22
MARGARITA,KOBIETA,21
AMIRA,KOBIETA,21
SAMANTA,KOBIETA,21
CHARLOTTE,KOBIETA,21
IRMINA,KOBIETA,21
OFELIA,KOBIETA,21
JOLANTA,KOBIETA,21
WANESSA,KOBIETA,21
CLARA,KOBIETA,21
ELIANA,KOBIETA,20
ADEL,KOBIETA,20
BIANCA,KOBIETA,20
ARIANNA,KOBIETA,20
NELLA,KOBIETA,20
ILONA,KOBIETA,19
SOLOMIYA,KOBIETA,19
EMILI,KOBIETA,19
BOŻENA,KOBIETA,19
BOGNA,KOBIETA,19
KAYA,KOBIETA,19
BELLA,KOBIETA,19
VIOLETTA,KOBIETA,19
INA,KOBIETA,19
MIRELLA,KOBIETA,18
VERONICA,KOBIETA,18
NELL,KOBIETA,18
PAMELA,KOBIETA,18
MIROSLAVA,KOBIETA,18
ALICIA,KOBIETA,18
ALICE,KOBIETA,18
GABRIELLA,KOBIETA,18
JESSICA,KOBIETA,17
HANA,KOBIETA,17
TATIANA,KOBIETA,17
LEOKADIA,KOBIETA,16
KHRYSTYNA,KOBIETA,16
YAROSLAVA,KOBIETA,16
MARINA,KOBIETA,16
BOGUMIŁA,KOBIETA,16
LUKRECJA,KOBIETA,15
ORIANA,KOBIETA,15
NELLY,KOBIETA,15
IWONA,KOBIETA,15
ROSE,KOBIETA,15
ANA,KOBIETA,15
MATILDA,KOBIETA,15
LEYLA,KOBIETA,15
ELLA,KOBIETA,15
YARYNA,KOBIETA,14
NOELIA,KOBIETA,14
CATALEYA,KOBIETA,14
LINDA,KOBIETA,14
GRETA,KOBIETA,14
MIŁOSŁAWA,KOBIETA,14
IVANNA,KOBIETA,14
ZOSIA,KOBIETA,14
VALENTINA,KOBIETA,14
ADELIA,KOBIETA,14
STANISŁAWA,KOBIETA,14
AYLA,KOBIETA,14
JASMINE,KOBIETA,14
ESTER,KOBIETA,14
MIROSŁAWA,KOBIETA,14
LISA,KOBIETA,14
HALSZKA,KOBIETA,14
ALISIIA,KOBIETA,13
YULIIA,KOBIETA,13
AFINA,KOBIETA,13
DARIIA,KOBIETA,13
VIVIEN,KOBIETA,13
STEFANIIA,KOBIETA,13
ARIADNA,KOBIETA,12
SOLOMIJA,KOBIETA,12
ANGELIKA,KOBIETA,12
TULIA,KOBIETA,12
TINA,KOBIETA,12
MAIA,KOBIETA,12
LIANA,KOBIETA,12
GRACJA,KOBIETA,12
ANIKA,KOBIETA,12
DARINA,KOBIETA,12
SARAH,KOBIETA,11
YASMIN,KOBIETA,11
ELISA,KOBIETA,11
VERA,KOBIETA,11
AISHA,KOBIETA,11
KSENIIA,KOBIETA,11
MARIAM,KOBIETA,11
MARIANA,KOBIETA,11
SAMIRA,KOBIETA,11
RENATA,KOBIETA,11
ROSA,KOBIETA,11
MARHARYTA,KOBIETA,11
KIARA,KOBIETA,11
SABRINA,KOBIETA,11
LEAH,KOBIETA,10
ULYANA,KOBIETA,10
CHIARA,KOBIETA,10
MAIIA,KOBIETA,10
ASTRID,KOBIETA,10
ROSALIE,KOBIETA,10
BOHDANA,KOBIETA,10
MALIKA,KOBIETA,10
NILA,KOBIETA,10
AVRORA,KOBIETA,10
FLORENCJA,KOBIETA,10
OLENA,KOBIETA,10
ELIZAVETA,KOBIETA,10
SOFIYA,KOBIETA,10
KATALEJA,KOBIETA,10
KAMELIA,KOBIETA,10
OKSANA,KOBIETA,10
HANIA,KOBIETA,10
KRISTINA,KOBIETA,10
LUCY,KOBIETA,10
ZORIANA,KOBIETA,9
OLESIA,KOBIETA,9
FRANCESCA,KOBIETA,9
MISHEL,KOBIETA,9
MIKA,KOBIETA,9
ZLATOSLAVA,KOBIETA,9
IZA,KOBIETA,9
VIVIENNE,KOBIETA,9
SOFIE,KOBIETA,9
LEIA,KOBIETA,9
ALISIA,KOBIETA,9
JASMIN,KOBIETA,9
ALENA,KOBIETA,9
MARIYA,KOBIETA,9
BOGDANA,KOBIETA,9
DOBROMIŁA,KOBIETA,9
RACHELA,KOBIETA,9
MIROSLAWA,KOBIETA,8
NATALIIA,KOBIETA,8
MARZENA,KOBIETA,8
VITALINA,KOBIETA,8
DANA,KOBIETA,8
LANA,KOBIETA,8
KAYLA,KOBIETA,8
FREYA,KOBIETA,8
NADIIA,KOBIETA,8
MARYAM,KOBIETA,8
ADELAJDA,KOBIETA,8
TOSIA,KOBIETA,8
AMALIA,KOBIETA,8
ALIA,KOBIETA,8
ANDŻELIKA,KOBIETA,8
LIYA,KOBIETA,8
SŁAWA,KOBIETA,8
NICOL,KOBIETA,8
ADELE,KOBIETA,8
DOBROSŁAWA,KOBIETA,8
PIA,KOBIETA,8
VASILISA,KOBIETA,8
LUDMIŁA,KOBIETA,8
KORA,KOBIETA,8
MARIE,KOBIETA,8
ELIZABET,KOBIETA,8
LIJA,KOBIETA,8
LUCIA,KOBIETA,8
EUGENIA,KOBIETA,8
ELWIRA,KOBIETA,8
JULIANA,KOBIETA,8
YASMINA,KOBIETA,7
REGINA,KOBIETA,7
DEBORA,KOBIETA,7
CELIA,KOBIETA,7
NASTAZJA,KOBIETA,7
DAYANA,KOBIETA,7
DAIANA,KOBIETA,7
LORENA,KOBIETA,7
ARLETA,KOBIETA,7
GRAŻYNA,KOBIETA,7
CLAUDIA,KOBIETA,7
ROZA,KOBIETA,7
NAWOJA,KOBIETA,7
MELA,KOBIETA,7
SIMONA,KOBIETA,7
LIKA,KOBIETA,7
ROSALIA,KOBIETA,7
LINA,KOBIETA,7
BERENIKA,KOBIETA,7
ZARA,KOBIETA,7
REBEKA,KOBIETA,7
VIRA,KOBIETA,7
DAJANA,KOBIETA,7
KARMEN,KOBIETA,7
AYA,KOBIETA,7
DOBROCHNA,KOBIETA,7
YELIZAVETA,KOBIETA,7
KASANDRA,KOBIETA,7
NATALIE,KOBIETA,7
CHLOE,KOBIETA,6
AIDA,KOBIETA,6
ANAYA,KOBIETA,6
MARIOLA,KOBIETA,6
YESENIIA,KOBIETA,6
ANASTASIYA,KOBIETA,6
NOA,KOBIETA,6
MARYLA,KOBIETA,6
ROKSOLANA,KOBIETA,6
FLORIANNA,KOBIETA,6
BLANCA,KOBIETA,6
VASYLYNA,KOBIETA,6
ELIF,KOBIETA,6
LEONA,KOBIETA,6
FILOMENA,KOBIETA,6
MARITA,KOBIETA,6
WANESA,KOBIETA,6
ŻANETA,KOBIETA,6
LIZA,KOBIETA,6
ILARIA,KOBIETA,6
GRACE,KOBIETA,6
CIRILLA,KOBIETA,6
RUT,KOBIETA,6
LUISA,KOBIETA,6
AYLIN,KOBIETA,6
FATIMA,KOBIETA,6
CELESTYNA,KOBIETA,6
SOFI,KOBIETA,6
ALMA,KOBIETA,6
MIKAELA,KOBIETA,6
SIENNA,KOBIETA,6
KARLA,KOBIETA,6
TETIANA,KOBIETA,6
CORNELIA,KOBIETA,6
VLADISLAVA,KOBIETA,6
VIVIANA,KOBIETA,6
ELA,KOBIETA,6
MANUELA,KOBIETA,6
FELICIA,KOBIETA,5
BOZHENA,KOBIETA,5
MELANIE,KOBIETA,5
IVY,KOBIETA,5
NELI,KOBIETA,5
TEIA,KOBIETA,5
DILARA,KOBIETA,5
BALBINA,KOBIETA,5
LETTY,KOBIETA,5
LIIA,KOBIETA,5
MILANIA,KOBIETA,5
OLHA,KOBIETA,5
ANATOLIA,KOBIETA,5
